"","AF293.Hypoxia.r1","AF293.Hypoxia.r2","AF293.Hypoxia.r3","Delta_eefA_AF293.Hypoxia.r1","Delta_eefA_AF293.Hypoxia.r2","Delta_eefA_AF293.Hypoxia.r3","eefA_OE.Hypoxia.r1","eefA_OE.Hypoxia.r2","eefA_OE.Hypoxia.r3","eefA_REV.Hypoxia.r1","eefA_REV.Hypoxia.r3","EVOL.Hypoxia.r1","EVOL.Hypoxia.r2","EVOL.Hypoxia.r3"
"Afu1g01530-T",16,0,5,4,2,14,0,3,3,0,4,24,13,14
"Afu1g01540-T",17,1,2,8,4,10,2,3,8,2,4,15,9,8
"Afu1g01550-T",21,5,15,12,11,34,0,2,1,1,7,1,0,1
"Afu1g01560-T",36,12,22,28,11,45,3,15,9,15,16,6,6,11
"Afu1g01570-T",49,36,28,44,32,49,12,34,30,22,30,36,15,20
"Afu1g01580-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g01590-T",24,3,15,19,6,25,7,13,20,20,30,16,7,12
"Afu1g01600-T",3728,1296,1986,2041,1649,4772,842,1336,1599,1271,2042,714,621,466
"Afu1g01610-T",1183,458,637,614,609,1521,345,525,485,353,477,123,100,77
"Afu1g01620-T",321,192,239,323,341,460,205,285,366,196,430,221,196,146
"Afu1g01630-T",128,50,63,93,79,125,39,52,79,65,165,38,31,24
"Afu1g01640-T",811,401,417,553,433,745,263,436,512,299,686,995,678,546
"Afu1g01650-T",111,67,57,80,52,106,30,41,53,38,83,53,49,46
"Afu1g01660-T",133,94,107,133,92,186,68,78,122,91,142,104,117,75
"Afu1g01670-T",66,45,45,70,31,62,38,31,43,51,86,106,75,93
"Afu1g01680-T",450,242,346,343,268,529,160,267,356,236,451,429,487,321
"Afu1g01690-T",178,141,96,263,181,193,76,70,139,168,211,527,436,391
"Afu1g01700-T",61,29,29,60,29,74,23,16,26,35,50,58,35,46
"Afu1g01710-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu1g01720-T",353,182,264,264,227,395,185,385,378,269,453,292,228,230
"Afu1g01730-T",35,7,26,23,11,50,2,7,6,6,12,7,3,4
"Afu1g01740-T",941,310,498,527,403,781,146,396,365,373,540,999,710,583
"Afu1g01750-T",56,29,61,41,30,64,10,32,17,36,47,31,20,15
"Afu1g01760-T",153,108,117,169,105,215,90,124,129,149,213,172,136,140
"Afu1g01770-T",326,175,196,253,176,405,101,114,124,94,159,114,90,67
"Afu1g01780-T",411,257,312,333,207,509,152,186,201,201,311,303,184,186
"Afu1g01790-T",736,308,427,523,417,906,293,429,569,365,699,567,481,406
