"","AF293.Hypoxia.r1","AF293.Hypoxia.r2","AF293.Hypoxia.r3","Delta_eefA_AF293.Hypoxia.r1","Delta_eefA_AF293.Hypoxia.r2","Delta_eefA_AF293.Hypoxia.r3","eefA_OE.Hypoxia.r1","eefA_OE.Hypoxia.r2","eefA_OE.Hypoxia.r3","eefA_REV.Hypoxia.r1","eefA_REV.Hypoxia.r3","EVOL.Hypoxia.r1","EVOL.Hypoxia.r2","EVOL.Hypoxia.r3"
"Afu5g14560-T",0,0,2,0,0,0,0,1,1,1,0,0,1,0
"Afu5g14570-T",0,2,1,0,3,3,6,1,2,2,2,1,2,0
"Afu5g14582-T",2,0,2,1,1,3,0,1,0,0,0,0,0,0
"Afu5g14600-T",1,0,1,0,0,1,0,0,0,0,0,0,0,0
"Afu5g14610-T",22,7,7,19,14,12,1,4,3,14,17,16,11,6
"Afu5g14620-T",0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Afu5g14630-T",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Afu5g14640-T",3,2,1,0,2,1,2,0,0,0,2,0,0,0
"Afu5g14650-T",2,3,0,0,1,3,1,2,1,0,1,1,0,0
"Afu5g14660-T",4973,2159,3852,3404,2125,5237,134,285,399,706,1462,772,670,425
"Afu5g14670-T",3355,1348,2142,2252,1754,3575,578,812,1092,817,1468,933,853,587
"Afu5g14680-T",86943,27678,44009,48246,32799,91090,32722,43808,45880,29577,42112,22385,19170,13952
"Afu5g14690-T",350,148,166,218,176,449,79,127,151,66,237,53,41,38
"Afu5g14700-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu5g14710-T",234,120,130,124,134,277,48,84,88,53,215,26,24,24
"Afu5g14720-T",15,5,17,9,7,14,4,5,5,6,19,2,4,4
"Afu5g14730-T",23,7,14,5,10,27,7,18,17,5,18,5,2,3
"Afu5g14740-T",252,101,145,194,152,665,4,2,4,11,45,3,1,1
"Afu5g14750-T",2,0,1,3,2,2,0,1,1,1,10,8,1,4
"Afu5g14760-T",21,15,3,17,9,7,7,15,15,8,17,35,30,15
"Afu5g14770-T",124,53,54,72,40,102,21,39,30,33,39,43,35,29
"Afu5g14780-T",96,31,62,55,56,155,13,13,12,11,19,18,20,15
"Afu5g14790-T",2726,1893,2037,2805,2186,3539,1300,1681,2582,1991,2674,1047,924,688
"Afu5g14800-T",243,148,177,219,194,322,38,52,70,60,112,24,29,20
"Afu5g14810-T",1750,921,1404,1149,1006,2332,289,362,465,339,728,152,121,100
"Afu5g14820-T",167,54,117,98,75,183,16,23,27,22,38,5,1,5
"Afu5g14830-T",699,358,444,676,718,1048,418,555,786,593,956,45,36,38
"Afu5g14840-T",137,84,99,133,120,199,16,22,33,18,44,3,2,2
"Afu5g14845-T",179,137,144,178,174,255,84,81,100,89,134,14,10,11
"Afu5g14850-T",30,21,7,27,26,32,552,740,807,159,227,11,6,2
"Afu5g14860-T",23,8,17,19,17,34,16,20,32,10,21,7,8,3
"Afu5g14865-T",1726,2240,1125,3084,3079,2558,7537,9057,9333,3938,7025,1745,1587,1498
"Afu5g14870-T",36,15,22,20,27,47,97,102,139,49,104,31,23,35
"Afu5g14880-T",1142,439,724,660,451,1373,6724,8672,8350,1525,2177,1487,1346,1110
"Afu5g14890-T",225,23,55,62,23,311,7486,9848,14144,868,1273,2805,2696,1311
"Afu5g14900-T",288,4,191,0,0,337,51046,64685,72833,921,1470,1067,991,842
"Afu5g14910-T",2,1,0,0,0,3,208,293,448,22,65,38,27,36
"Afu5g14920-T",57,32,38,54,37,60,1145,1605,1445,231,335,240,176,177
"Afu5g14930-T",894.160258884847,365.390067484065,427.54060500673,702.164725874284,675.849474371081,1245.01684970233,1339.72835917965,1784.08782016832,2617.77982945324,502.836905582646,938.573790413131,889.111094485128,774.156408316083,583.524239437305
"Afu5g14940-T",2.17942126893361,0,0,0,0,1.03085198278822,6.92536321725176,34.5651154842701,57.3548559391866,5.26414014077854,9.67220225438673,8.12803490546974,7.30943964481487,5.4402495297673
"Afu5g14950-T",113.168331416885,48.3540993462785,42.0088139851381,68.7546485526735,48.1784900492595,102.909993086174,159.655499602425,230.269979527135,260.633168207808,96.1805405035591,165.02515235813,305.072516927882,263.867103516521,203.508978430617
"Afu5g14960-T",34,18,20,35,31,33,42,40,53,31,54,40,30,27
"Afu5g14970-T",198.984352724673,145.530242315518,122.124424251895,202.367626832741,178.519616363707,213.478842961106,204.691390474645,227.644849572451,301.330199107746,180.493438459369,301.056762318181,140.320373496641,109.367763079704,110.243378897017
"Afu5g14980-T",90.6344265134037,37.8897882925384,45.2355631187114,66.8967032049918,31.2097720934484,85.472225906605,137.595998466897,165.903008735507,172.999850484101,72.0722945904215,88.6334315784781,48.2999759315995,31.7349920635071,42.2326624085561
"Afu5g14990-T",73.3657888933583,21,39.5187975928525,20.6723704532808,25.3768043379967,64.5348461427246,28.9535228897143,41.5088418003272,53.6957449210896,27.5856443756669,33.5237398145543,33.3854525106956,27.9274281135439,16.3639765217188
"Afu5g15000-T",9,0,5,3,5,18,16,11,13,11,27.9505578880776,40,27,34
"Afu5g15010-T",31.9690808538661,17,22,23,16,59.9023797422329,57,61.9688540444208,68,61.967784620479,127.937303838412,41.9538618197889,36.9732691542916,36.892984975958
"Afu5g15020-T",27,8.51020941096176,20,10,10,32,15,30,29.5529525392343,12,37.5984605804881,32,24,19
"Afu5g15030-T",1,2,2,1,1,4,1,0,1,0,5,2,0,3
"Afu5g15040-T",60.4261244817901,41.7029935613953,7.70262379724146,80.2480919359067,72.6187610903746,60.4626643919845,381.341887677294,589.646499217127,510.109190104177,177.923188782243,274.328438857427,111.607715194545,98.2748074754962,90.5745142645221
"Afu5g15050-T",80,9,41,14,8,110,9,7,5,12,12,16,10,10
"Afu5g15060-T",16,0,7,2,2,18,2,6,7,0,2,3,5,4
"Afu5g15070-T",20,16,16,14,11,33,13,21,15,9,25,27,17,21
"Afu5g15080-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu5g15090-T",0,1,0,1,0,0,0,0,1,0,0,1,0,0
"Afu5g15130-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu5g15140-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu5g15150-T",0,0,1,0,0,0,0,0,1,1.85107324921882,0.881757377267421,0,5.65409364888588,3.06362056962879
"Afu6g00100-T",22.5991562409562,7.24304552651441,21.3100057310735,18.0324972976158,3.847910917459,31.6714132051916,7.43722845342482,12.2779244579146,10.5756313225098,3.17612053334136,11.7514188690256,11.4169831584218,0,3.80617234700433
"Afu6g00110-T",1,0,1,1,2,0,0,0,0,1,2,4,1,1
"Afu6g00120-T",13,3,6,6,2,9,1,5,4,0,7,5,3,3
"Afu6g00130-T",5,1,4,4,1,6,4,5,2,3,2,3,2,2
"Afu6g00140-T",2,0,0,1,5,1,1,0,2,1,0,2,0,2
"Afu6g00160-T",0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Afu6g00180-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g00190-T",1,1,0,0,1,1,0,0,0,1,0,1,1,1
"Afu6g00193-T",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Afu6g00196-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g00200-T",67,36,60,44,29,84,25,39,28,19,49,49,26,21
"Afu6g00210-T",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Afu6g00220-T",181,57,121,89,56,141,57,90,58,41,68,79,67,67
"Afu6g00230-T",200,58,185,119,73,172,35,65,82,59,128,103,98,83
"Afu6g00240-T",1,1,0,0,0,3,0,0,0,0,2,0,0,0
"Afu6g00250-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g00260-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g00270-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g00280-T",126,71,139,121,190,169,100,80,111,186,394,483,427,441
"Afu6g00290-T",53,23,33,65,20,70,9,31,25,31,84,660,427,359
"Afu6g00300-T",927,474,622,729,651,1244,197,327,358,343,632,355,268,205
"Afu6g00310-T",160,51,136,82,49,164,16,22,22,16,47,49,38,39
"Afu6g00320-T",7,0,2,1,1,6,0,0,2,0,0,0,0,0
"Afu6g00330-T",1,0,1,0,0,1,0,0,0,0,1,0,0,0
"Afu6g00340-T",2,0,0,0,1,1,0,0,0,0,0,0,0,0
"Afu6g00350-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g00360-T",102,40,44,54,42,95,30,55,61,28,48,43,30,35
"Afu6g00370-T",167,89,122,134,83,262,59,95,81,46,108,33,35,34
"Afu6g00380-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g00390-T",120,65,79,86,69,201,29,55,59,62,75,38,27,18
"Afu6g00400-T",125,78,83,96,51,180,41,77,62,63,99,50,24,25
"Afu6g00412-T",108,42,66,65,39,227,5,5,10,2,4,0,1,2
"Afu6g00430-T",494,164,225,267,171,974,77,123,97,119,152,44,41,58
"Afu6g00440-T",81,32,51,61,27,107,33,55,56,29,47,1,1,2
"Afu6g00450-T",4,1,2,0,0,2,0,0,0,1,1,0,1,1
"Afu6g00460-T",1,2,0,1,0,1,0,1,1,0,0,0,1,1
"Afu6g00470-T",92,42,41,90,39,92,53,69,78,38,57,59,35,34
"Afu6g00480-T",5,3,6,0,2,2,3,3,3,1,2,0,4,4
"Afu6g00490-T",57,33,37,44,42,47,35,55,58,20,28,17,7,29
"Afu6g00500-T",120,89,46,117,89,160,25,31,48,91,129,3,0,3
"Afu6g00510-T",3025,1156,1364,2063,1304,4112,342,619,578,1318,1026,7,5,8
"Afu6g00520-T",212,112,137,168,131,300,29,65,54,97,166,27,25,25
"Afu6g00530-T",2,1,0,0,0,1,0,1,0,0,0,1,0,0
"Afu6g00540-T",1,0,0,0,0,0,0,1,0,1,3,5,3,3
"Afu6g00550-T",7,6,4,3,5,14,1,0,2,8,15,10,13,17
"Afu6g00555-T",2,1,1,1,0,3,0,1,0,4,4,20,8,7
"Afu6g00560-T",2,0,0,0,0,3,0,0,1,2,0,6,7,3
"Afu6g00570-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g00580-T",5,1,4,5,3,10,0,0,2,0,3,0,0,0
"Afu6g00590-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g00600-T",32,6,14,18,8,32,5,9,12,8,10,15,7,8
"Afu6g00610-T",2,0,0,0,0,1,0,0,0,0,0,0,0,0
"Afu6g00620-T",538,259,405,327,245,586,183,223,261,259,325,192,133,139
"Afu6g00630-T",621,302,371,432,347,565,140,323,259,280,431,233,180,164
"Afu6g00640-T",406,202,272,295,285,365,259,425,413,289,408,228,202,194
"Afu6g00650-T",191,70,107,119,75,169,31,32,76,39,45,40,22,21
"Afu6g00660-T",577,261,446,402,292,586,203,371,321,345,497,615,535,388
"Afu6g00670-T",9,2,1,5,6,10,3,1,3,4,2,2,4,8
"Afu6g00680-T",184,68,90,125,127,278,27,57,96,57,58,132,115,104
"Afu6g00690-T",95,42,32,51,39,141,20,55,41,50,46,69,34,84
"Afu6g00710-T",23,7,12,9,14,29,5,6,6,9,26,5,1,3
"Afu6g00720-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g00730-T",388,212,204,238,171,727,68,119,112,170,285,28,20,20
"Afu6g00740-T",742,530,527,708,595,1529,164,233,196,335,522,76,49,22
"Afu6g00750-T",674,614,479,700,624,1496,127,157,139,214,432,52,29,17
"Afu6g00760-T",24,20,9,24,27,47,14,6,8,14,32,2,4,2
"Afu6g00770-T",6,4,4,2,13,14,1,1,1,4,18,0,0,0
"Afu6g00780-T",165.811949212882,94.1170123872941,123.507221525953,127.334813230432,82.6142282728031,158.906011141844,79.8274791493013,125.39931431262,105.843837795593,56.9119810566703,77.6556799068997,28.9427843271343,39.8283184273925,24.9921755448259
"Afu6g00790-T",165.811949212882,94.1170123872941,123.507221525953,127.334813230432,82.6142282728031,158.906011141844,79.8274791493013,125.39931431262,105.843837795593,56.9119810566703,77.6556799068997,28.9427843271343,39.8283184273925,24.9921755448259
"Afu6g01790-T",23,8,12,4,2,17,4,2,6,1,4,6,8,5
"Afu6g01800-T",3,2,7,4,9,8,0,1,1,3,8,0,2,2
"Afu6g01810-T",166,114,102,124,95,205,67,73,52,66,102,77,56,74
"Afu6g01820-T",422,317,259,472,368,507,317,423,524,536,753,1068,861,719
"Afu6g01830-T",109,66,80,102,78,112,59,71,103,105,161,337,266,194
"Afu6g01840-T",11,3,11,11,8,18,6,20,11,4,14,12,7,8
"Afu6g01850-T",38,14,22,28,19,38,17,27,19,33,41,74,64,47
"Afu6g01860-T",3,0,3,1,0,4,0,0,0,1,0,0,0,2
"Afu6g01870-T",785,452,307,863,550,1295,9,14,27,121,197,62,46,16
"Afu6g01880-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g01900-T",193,111,106,183,164,160,9,23,17,52,71,33,21,14
"Afu6g01905-T",16,9,12,10,8,19,0,3,5,2,10,4,3,5
"Afu6g01910-T",113,50,88,98,66,130,76,133,127,167,261,108,60,56
"Afu6g01920-T",40,14,29,31,14,49,6,9,8,6,6,3,2,0
"Afu6g01930-T",121,67,79,108,50,171,34,51,52,17,22,4,2,5
"Afu6g01940-T",12798,5889,9372,10260,7390,18477,5144,7250,8809,5423,7999,739,734,442
"Afu6g01950-T",9780,4615,6764,6842,3853,13133,7302,9297,8694,6682,8865,3294,2770,2091
"Afu6g01960-T",12,2,5,4,3,7,2,1,1,3,4,6,2,5
"Afu6g01970-T",171,71,131,104,72,188,66,81,58,70,109,112,105,68
"Afu6g01980-T",59,22,40,28,22,71,16,18,32,22,38,13,5,8
"Afu6g01990-T",19,0,3,4,7,5,1,5,4,7,21,4,5,4
"Afu6g02000-T",221,109,133,206,212,374,13,24,20,67,79,517,377,363
"Afu6g02010-T",22560,13518,14502,20029,16403,28457,17169,24050,29161,17373,31161,7904,6604,6236
"Afu6g02020-T",9694,6093,6557,9231,6396,14643,4067,4984,5256,3430,4753,2859,2305,2197
"Afu6g02030-T",331,130,210,221,130,319,6,11,15,20,28,58,42,33
"Afu6g02040-T",47,15,29,19,9,42,8,6,10,7,27,22,15,15
"Afu6g02050-T",84,23,43,39,34,110,11,12,14,17,31,28,27,24
"Afu6g02060-T",96,53,51,72,38,95,28,49,49,48,80,65,59,50
"Afu6g02070-T",200,74,140,141,58,230,115,202,134,309,492,400,321,358
"Afu6g02080-T",164,62,117,110,81,217,62,102,111,89,136,186,159,138
"Afu6g02090-T",3112,1409,1976,2115,1507,3614,1781,2425,2168,1716,2487,1711,1307,1146
"Afu6g02100-T",1502,754,881,1154,782,1769,654,914,892,746,868,509,393,336
"Afu6g02110-T",294,116,194,167,94,251,48,88,65,80,94,64,44,39
"Afu6g02120-T",1366,1017,943,1528,1709,2177,528,944,1085,854,1690,573,447,313
"Afu6g02130-T",1860,1513,1346,2125,3476,2767,1297,1803,2538,1690,3619,1879,1538,1536
"Afu6g02140-T",104,37,61,76,70,66,32,59,77,60,98,92,68,47
"Afu6g02150-T",17,11,11,11,3,11,3,7,6,8,20,7,8,6
"Afu6g02160-T",49,30,37,40,26,46,16,35,31,41,88,28,19,27
"Afu6g02170-T",124,84,78,74,81,204,56,62,65,33,63,14,12,15
"Afu6g02180-T",2373,1129,1493,1682,1019,2991,1078,1470,1385,966,1474,709,529,452
"Afu6g02190-T",1552,908,1086,1340,870,2220,764,1070,1017,853,958,462,361,335
"Afu6g02200-T",219,113,151,170,111,298,86,120,147,95,138,135,96,92
"Afu6g02210-T",95,44,62,66,43,131,34,68,101,19,59,29,15,43
"Afu6g02215-T",35,9,29,10,9,32,2,4,8,7,4,7,9,9
"Afu6g02220-T",5089,1641,3359,2598,1996,7655,151,246,220,615,955,876,699,537
"Afu6g02230-T",6450,2443,4054,3851,3038,8882,738,898,988,1376,1749,1598,1572,1018
"Afu6g02242-T",289,106,187,199,87,314,59,90,114,102,131,236,187,145
"Afu6g02260-T",551,240,360,436,314,650,183,263,324,280,407,459,333,317
"Afu6g02270-T",91,37,52,55,51,91,68,134,150,135,221,72,44,79
"Afu6g02280-T",21690,12056,19032,16130,12071,31844,16290,21731,19757,14063,20400,7977,7827,6725
"Afu6g02290-T",181,66,91,121,75,180,90,97,131,95,137,518,470,286
"Afu6g02300-T",41,5,33,15,11,41,3,4,6,4,13,12,12,12
"Afu6g02330-T",579,283,358,408,342,653,475,571,583,791,1185,759,638,751
"Afu6g02340-T",48,33,25,49,43,53,11,31,25,39,69,64,58,57
"Afu6g02350-T",18,7,12,11,10,17,1,10,10,16,31,14,21,18
"Afu6g02360-T",11,2,12,7,6,11,2,4,7,12,16,10,16,6
"Afu6g02370-T",346,124,204,233,173,382,67,131,127,88,166,202,180,114
"Afu6g02380-T",1511,673,1037,1064,700,1686,740,1081,986,710,1018,743,624,557
"Afu6g02390-T",68,33,42,24,29,55,16,20,25,24,59,47,26,43
"Afu6g02400-T",26,9,19,17,6,29,3,5,13,2,13,12,9,12
"Afu6g02410-T",97,54,89,67,42,113,23,35,46,46,93,104,62,53
"Afu6g02420-T",157,64,119,109,64,182,96,98,126,109,136,163,144,107
"Afu6g02430-T",83,19,43,29,22,87,6,11,5,3,11,7,5,6
"Afu6g02440-T",887,344,468,611,359,856,96,144,173,239,354,494,390,384
"Afu6g02450-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g02460-T",268,153,167,208,143,261,36,55,89,46,118,55,51,38
"Afu6g02470-T",6486,3743,4623,5592,3390,8081,3970,5408,4492,4568,6317,4747,3677,3179
"Afu6g02480-T",185,101,135,187,147,268,92,129,196,92,145,93,99,63
"Afu6g02490-T",18,10,14,12,9,23,5,22,5,26,27,12,2,8
"Afu6g02510-T",82,42,77,65,47,78,10,32,22,36,31,17,14,12
"Afu6g02515-T",14,0,8,8,9,5,2,6,5,10,5,7,2,7
"Afu6g02520-T",680,294,505,458,316,858,490,627,669,414,548,312,239,211
"Afu6g02530-T",1552,828,1153,1163,1199,2359,933,1104,1280,641,970,358,286,205
"Afu6g02535-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g02540-T",551,249,434,385,193,664,223,300,381,221,344,149,108,111
"Afu6g02550-T",52,20,40,19,18,51,7,19,19,39,37,46,25,24
"Afu6g02560-T",154,92,114,127,95,166,29,52,75,55,78,29,11,16
"Afu6g02570-T",207,141,162,155,100,272,75,114,121,112,196,95,70,63
"Afu6g02575-T",4,0,2,0,1,5,0,0,0,0,0,1,0,0
"Afu6g02580-T",4,2,0,2,2,4,0,2,3,5,4,3,1,7
"Afu6g02590-T",5,0,0,0,0,5,0,0,0,0,0,0,0,0
"Afu6g02600-T",137,63,74,106,61,147,37,57,77,86,105,79,53,56
"Afu6g02610-T",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Afu6g02620-T",185,87,139,130,53,163,112,300,210,365,543,247,164,193
"Afu6g02630-T",1302,546,957,987,653,1431,473,811,795,705,1125,1155,1033,724
"Afu6g02640-T",1,1,2,0,0,4,0,1,0,0,2,0,0,2
"Afu6g02650-T",4,1,2,3,1,7,1,7,1,9,5,5,4,7
"Afu6g02660-T",100,98,61,144,131,107,39,64,81,54,62,26,24,16
"Afu6g02670-T",92,42,68,66,58,92,42,46,96,45,148,209,129,151
"Afu6g02680-T",179,81,146,134,91,224,84,132,139,65,120,56,49,42
"Afu6g02690-T",496,303,307,390,355,633,234,352,340,395,796,479,399,321
"Afu6g02700-T",377,171,261,256,167,380,99,192,171,152,260,241,196,141
"Afu6g02705-T",3,0,1,2,2,2,1,0,3,2,5,4,3,2
"Afu6g02710-T",849,552,808,855,570,1044,242,290,372,418,774,413,310,387
"Afu6g02720-T",389,243,332,364,254,551,67,53,91,118,258,143,113,132
"Afu6g02730-T",65,28,33,40,27,75,13,32,31,52,73,35,29,29
"Afu6g02740-T",56,17,24,24,26,44,13,29,31,28,46,72,43,65
"Afu6g02750-T",2109,841,1087,1310,808,1908,462,704,799,772,1341,2199,1924,1381
"Afu6g02760-T",43,40,28,80,55,54,22,35,46,19,53,11,9,9
"Afu6g02770-T",144,82,107,123,94,160,71,137,120,60,137,62,56,40
"Afu6g02780-T",527,187,302,359,229,544,125,194,255,180,272,242,205,133
"Afu6g02790-T",127,55,80,62,51,93,77,123,115,70,126,79,56,46
"Afu6g02800-T",69,16,47,32,15,51,15,25,17,26,16,24,16,20
"Afu6g02810-T",21,11,10,2,4,11,2,5,4,2,5,2,6,3
"Afu6g02820-T",63,41,41,61,55,74,30,59,63,48,54,3,4,4
"Afu6g02830-T",1135,338,594,719,463,1249,285,445,666,338,589,164,138,107
"Afu6g02840-T",95,36,73,55,31,92,24,42,45,40,49,27,15,21
"Afu6g02845-T",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Afu6g02850-T",168,28,144,72,40,151,13,17,15,29,25,40,22,22
"Afu6g02860-T",169,56,131,91,52,171,25,45,68,45,60,49,24,26
"Afu6g02870-T",100,47,75,56,38,95,29,66,63,68,93,101,84,72
"Afu6g02880-T",0,0,0,0,0,0,0,0,0,0,0,1.56528345351922e-05,0.00985809616514212,2.67925807165145
"Afu6g02900-T",18,6,2,3,7,11,3,5,7,7,16,18,14,12
"Afu6g02910-T",575,266,377,387,188,541,155,257,224,379,547,1203,883,640
"Afu6g02920-T",167,83,96,123,93,200,70,88,120,89,128,92,79,43
"Afu6g02930-T",118,51,54,53,54,101,29,29,58,42,67,69,58,47
"Afu6g02940-T",96,51,70,71,38,96,38,74,43,69,63,85,65,69
"Afu6g02950-T",546,386,407,518,629,805,195,241,324,422,741,1168,989,551
"Afu6g02960-T",47,14,32,38,21,55,11,22,24,15,32,41,27,24
"Afu6g02970-T",571,275,406,406,274,592,115,193,214,187,262,287,251,167
"Afu6g02980-T",3,0,1,3,2,5,1,2,0,2,1,1,0,0
"Afu6g02990-T",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Afu6g03010-T",12,7,14,13,4,19,0,7,1,11,11,4,2,5
"Afu6g03020-T",1,0,1,0,0,0,0,1,0,0,1,0,2,0
"Afu6g03025-T",4,1,0,0,0,8,3,2,2,1,3,3,2,3
"Afu6g03030-T",33,6,18,8,10,56,7,3,10,8,6,11,5,2
"Afu6g03040-T",179,95,120,122,116,255,72,125,145,51,121,51,42,52
"Afu6g03050-T",15,5,8,9,4,13,6,50,60,116,170,66,18,61
"Afu6g03060-T",211,121,123,171,189,277,395,805,899,369,617,424,217,448
"Afu6g03070-T",171,104,108,144,94,201,109,134,132,114,163,106,74,82
"Afu6g03080-T",2561,1288,2059,1343,2078,2620,494,308,440,3215,881,915,1037,1050
"Afu6g03090-T",265,152,142,239,193,311,86,100,153,161,243,135,103,62
"Afu6g03100-T",575,216,343,372,226,585,146,229,347,185,380,202,216,144
"Afu6g03110-T",87,32,52,64,30,72,14,23,25,54,42,30,24,28
"Afu6g03120-T",8,3,2,4,6,5,3,2,0,1,3,2,4,2
"Afu6g03130-T",41,22,20,27,15,43,9,22,26,20,35,53,25,19
"Afu6g03140-T",36,9,20,34,15,38,7,10,14,12,10,22,12,17
"Afu6g03150-T",0,0,0,0,1,0,0,0,0,1,1,1,0,1
"Afu6g03160-T",24,14,12,20,10,31,7,22,15,22,19,23,17,17
"Afu6g03180-T",99,69,91,96,79,194,14,49,38,25,29,24,26,18
"Afu6g03190-T",0,1,0,0,0,1,0,1,1,0,0,0,1,1
"Afu6g03200-T",1,1,0,0,0,1,0,0,0,1,1,1,1,0
"Afu6g03210-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g03220-T",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Afu6g03230-T",48,12,40,42,28,73,22,37,47,26,55,81,92,47
"Afu6g03240-T",34,11,23,11,15,50,2,2,18,3,8,6,6,3
"Afu6g03252-T",68,29,46,45,30,113,9,11,15,14,34,7,11,10
"Afu6g03260-T",65,20,41,25,23,123,1,11,15,10,22,2,2,4
"Afu6g03270-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g03280-T",1,0,0,0,0,0,0,1,0,1,0,1,0,0
"Afu6g03285-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g03290-T",0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Afu6g03300-T",0,0,1,0,0,2,0,0,1,0,0,1,0,1
"Afu6g03310-T",0,0,1,0,0,0,0,0,0,1,3,0,0,0
"Afu6g03320-T",988,491,635,827,538,1111,1046,1204,1282,1263,1937,2560,1976,1734
"Afu6g03330-T",14,4,10,3,5,20,1,1,1,3,9,4,3,1
"Afu6g03340-T",1,0,1,0,0,3,0,1,0,0,1,0,0,0
"Afu6g03345-T",1,0,1,0,0,3,0,0,0,1,1,5,3,3
"Afu6g03350-T",180,69,108,184,88,167,26,53,60,64,114,1173,1132,569
"Afu6g03360-T",13,6,6,10,10,10,2,2,1,0,9,4,6,9
"Afu6g03370-T",1,0,2,0,0,0,0,0,0,0,2,2,0,2
"Afu6g03375-T",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g03380-T",0,0,2,0,1,1,1,1,1,0,0,1,1,4
"Afu6g03390-T",28,11,16,22,27,34,10,6,4,11,12,34,37,25
"Afu6g03400-T",1458,534,894,886,632,1610,651,929,835,449,781,483,429,319
"Afu6g03420-T",4756,2421,3000,3573,2669,6826,2372,3154,3012,1848,2631,850,822,646
"Afu6g03430-T",119,54,90,70,59,204,7,9,10,32,64,97,52,78
"Afu6g03440-T",169,50,134,81,71,301,8,19,32,130,205,544,494,251
"Afu6g03450-T",43,20,36,20,23,76,4,2,6,15,24,53,54,55
"Afu6g03460-T",1983,1149,1514,1548,1512,3010,264,408,434,1819,2519,4738,3916,2577
"Afu6g03470-T",3613,2145,2670,3083,2881,5103,422,705,807,2419,3077,4259,3575,2699
"Afu6g03480-T",94,80,87,115,180,172,6,19,19,82,166,82,101,93
"Afu6g03490-T",4,0,2,0,0,4,2,0,1,7,4,14,11,18
"Afu6g03500-T",123,43,73,72,57,140,10,10,18,9,22,34,10,15
"Afu6g03510-T",1203,724,1008,942,1106,1918,1041,1264,1576,1319,2109,1100,942,1341
"Afu6g03520-T",312,139,233,219,160,365,152,217,184,126,203,218,141,177
"Afu6g03530-T",297,151,198,257,252,329,185,192,277,139,321,174,103,172
"Afu6g03540-T",1999,1667,1358,2297,2022,3441,3974,3679,3700,2329,3009,938,508,821
"Afu6g03550-T",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afu6g03560-T",18,10,17,21,13,31,4,6,5,8,8,15,10,7
"Afu6g03570-T",204,75,151,137,59,141,24,38,41,57,68,122,90,72
"Afu6g03580-T",21,5,11,10,5,20,22,83,80,245,280,94,31,81
"Afu6g03590-T",41,21,24,34,24,36,29,40,44,22,17,31,15,15
"Afu6g03600-T",5,2,1,4,1,3,3,3,7,4,4,6,4,7
"Afu6g03610-T",0,16.2912594214966,0,0,4.41936268803465e-06,0,0.900376378001138,0,0,0,0,0,0,0
"Afu6g03620-T",301,209,236,284,252,390,121,116,173,146,231,217,151,185
"Afu6g03630-T",3,0,0,2,1,5,0,0,0,0,1,0,3,1
"Afu6g03640-T",669,479,476,701,439,810,179,176,193,202,291,454,329,303
"Afu6g03650-T",1071.6424278704,505.111479294452,698.460979363936,656.361168883706,700.484553922256,1478.69710588219,318.685815579306,436.024069196941,510.966336165512,289.881439983695,551.975144581118,523.121803919339,475.672200875631,486.829318810614
"Afu6g03660-T",1080,813,722,1258,1034,1413,258,355,433,532,914,612,458,357
"Afu6g03670-T",717,384,511,611,315,754,143,180,234,204,429,378,276,273
